ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQpCb29rRmxpZ2h0AwABAQMAAAAAAABAj0A=
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.TestScript1	testscript1	1577646885224	 	3.3.1
USER	TestScript1	1	START	1577646886242	1577646886242
REQUEST	1		HomePage	1577646886287	1577646886583	OK	 
USER	TestScript1	2	START	1577646888246	1577646888246
REQUEST	2		HomePage	1577646888247	1577646888494	OK	 
USER	TestScript1	3	START	1577646890246	1577646890246
REQUEST	3		HomePage	1577646890247	1577646890510	OK	 
USER	TestScript1	4	START	1577646891246	1577646891246
REQUEST	4		HomePage	1577646891246	1577646891508	OK	 
USER	TestScript1	5	START	1577646893246	1577646893246
REQUEST	5		HomePage	1577646893247	1577646893511	OK	 
USER	TestScript1	6	START	1577646895246	1577646895246
REQUEST	6		HomePage	1577646895247	1577646895516	OK	 
REQUEST	1		SearchFlight	1577646900267	1577646900426	OK	 
REQUEST	1		SelectFlight	1577646905127	1577646905286	OK	 
REQUEST	2		SearchFlight	1577646911865	1577646912012	OK	 
REQUEST	2		SelectFlight	1577646916157	1577646916288	OK	 
REQUEST	3		SearchFlight	1577646920108	1577646920260	OK	 
REQUEST	4		SearchFlight	1577646921897	1577646922028	OK	 
REQUEST	5		SearchFlight	1577646922767	1577646922908	OK	 
REQUEST	6		SearchFlight	1577646922787	1577646922923	OK	 
REQUEST	3		SelectFlight	1577646924388	1577646924520	OK	 
REQUEST	4		SelectFlight	1577646926167	1577646926299	OK	 
REQUEST	5		SelectFlight	1577646927048	1577646927179	OK	 
REQUEST	6		SelectFlight	1577646927308	1577646927442	OK	 
REQUEST	1		BookFlight	1577646938721	1577646939277	OK	 
REQUEST	1		BookFlight Redirect 1	1577646939286	1577646939413	OK	 
USER	TestScript1	1	END	1577646886242	1577646939552
USER	TestScript1	7	START	1577646939553	1577646939553
REQUEST	7		HomePage	1577646939554	1577646939814	OK	 
REQUEST	2		BookFlight	1577646949431	1577646949652	OK	 
REQUEST	2		BookFlight Redirect 1	1577646949653	1577646949789	OK	 
USER	TestScript1	2	END	1577646888246	1577646949976
USER	TestScript1	8	START	1577646949977	1577646949977
REQUEST	8		HomePage	1577646949978	1577646950508	OK	 
REQUEST	7		SearchFlight	1577646952268	1577646952528	OK	 
REQUEST	7		SelectFlight	1577646956847	1577646956980	OK	 
REQUEST	3		BookFlight	1577646957660	1577646958426	OK	 
REQUEST	3		BookFlight Redirect 1	1577646958427	1577646958560	OK	 
USER	TestScript1	3	END	1577646890246	1577646958735
REQUEST	4		BookFlight	1577646959440	1577646960167	OK	 
REQUEST	4		BookFlight Redirect 1	1577646960168	1577646960316	OK	 
USER	TestScript1	4	END	1577646891246	1577646960787
REQUEST	5		BookFlight	1577646960301	1577646960790	OK	 
REQUEST	6		BookFlight	1577646960580	1577646961110	OK	 
REQUEST	5		BookFlight Redirect 1	1577646960791	1577646961128	OK	 
REQUEST	6		BookFlight Redirect 1	1577646961111	1577646961245	OK	 
USER	TestScript1	5	END	1577646893246	1577646961251
USER	TestScript1	6	END	1577646895246	1577646961377
REQUEST	8		SearchFlight	1577646962856	1577646962993	OK	 
REQUEST	8		SelectFlight	1577646967138	1577646967272	OK	 
REQUEST	7		BookFlight	1577646990109	1577646990784	OK	 
REQUEST	7		BookFlight Redirect 1	1577646990785	1577646990917	OK	 
USER	TestScript1	7	END	1577646939553	1577646991049
REQUEST	8		BookFlight	1577647000400	1577647000921	OK	 
REQUEST	8		BookFlight Redirect 1	1577647000922	1577647001055	OK	 
USER	TestScript1	8	END	1577646949977	1577647001181
