ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQ5HZXRTdWJtaXNzaW9ucwMAAQEDAAAAAAAAQI9A
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.APITest	apitest	1577747345925	 	3.3.1
USER	accessToken	3	START	1577747346943	1577747346943
USER	accessToken	9	START	1577747346944	1577747346944
USER	accessToken	10	START	1577747346944	1577747346944
USER	accessToken	12	START	1577747346950	1577747346950
USER	accessToken	5	START	1577747346943	1577747346943
USER	accessToken	6	START	1577747346944	1577747346944
USER	accessToken	14	START	1577747346996	1577747346996
USER	accessToken	16	START	1577747346996	1577747346996
USER	accessToken	15	START	1577747346996	1577747346996
USER	accessToken	17	START	1577747346997	1577747346997
USER	accessToken	18	START	1577747346997	1577747346997
USER	accessToken	19	START	1577747346997	1577747346997
USER	accessToken	11	START	1577747346945	1577747346945
USER	accessToken	7	START	1577747346944	1577747346944
USER	accessToken	20	START	1577747346998	1577747346998
USER	accessToken	4	START	1577747346943	1577747346943
USER	accessToken	2	START	1577747346943	1577747346943
USER	accessToken	13	START	1577747346996	1577747346996
USER	accessToken	1	START	1577747346943	1577747346943
USER	accessToken	8	START	1577747346944	1577747346944
REQUEST	4		GenAccToken	1577747346992	1577747348477	OK	 
REQUEST	6		GenAccToken	1577747346992	1577747348668	OK	 
REQUEST	16		GenAccToken	1577747346997	1577747348691	OK	 
REQUEST	14		GenAccToken	1577747346997	1577747348712	OK	 
REQUEST	17		GenAccToken	1577747346998	1577747348785	OK	 
REQUEST	8		GenAccToken	1577747346992	1577747348834	OK	 
REQUEST	18		GenAccToken	1577747346998	1577747348866	OK	 
REQUEST	9		GenAccToken	1577747346992	1577747348890	OK	 
REQUEST	2		GenAccToken	1577747347014	1577747348901	OK	 
REQUEST	1		GenAccToken	1577747346992	1577747348912	OK	 
REQUEST	19		GenAccToken	1577747346998	1577747348917	OK	 
REQUEST	14		GetSubmissions	1577747348714	1577747349008	OK	 
USER	accessToken	14	END	1577747346996	1577747349017
REQUEST	1		GetSubmissions	1577747348914	1577747349237	OK	 
USER	accessToken	1	END	1577747346943	1577747349240
REQUEST	8		GetSubmissions	1577747348837	1577747349262	OK	 
USER	accessToken	8	END	1577747346944	1577747349264
REQUEST	11		GenAccToken	1577747346992	1577747349397	OK	 
REQUEST	12		GenAccToken	1577747346992	1577747349414	OK	 
REQUEST	11		GetSubmissions	1577747349400	1577747349704	OK	 
USER	accessToken	11	END	1577747346945	1577747349706
REQUEST	13		GenAccToken	1577747347014	1577747350419	OK	 
REQUEST	15		GenAccToken	1577747346997	1577747350421	OK	 
REQUEST	10		GenAccToken	1577747346992	1577747350424	OK	 
REQUEST	7		GenAccToken	1577747346993	1577747350426	OK	 
REQUEST	15		GetSubmissions	1577747350424	1577747350732	OK	 
REQUEST	13		GetSubmissions	1577747350423	1577747350732	OK	 
USER	accessToken	15	END	1577747346996	1577747350733
USER	accessToken	13	END	1577747346996	1577747350733
REQUEST	7		GetSubmissions	1577747350428	1577747350735	OK	 
USER	accessToken	7	END	1577747346944	1577747350736
REQUEST	16		GetSubmissions	1577747348693	1577747351547	OK	 
USER	accessToken	16	END	1577747346996	1577747351549
REQUEST	20		GenAccToken	1577747346998	1577747351578	OK	 
REQUEST	4		GetSubmissions	1577747348555	1577747351618	OK	 
USER	accessToken	4	END	1577747346943	1577747351619
REQUEST	3		GenAccToken	1577747346992	1577747351667	OK	 
REQUEST	18		GetSubmissions	1577747348868	1577747351687	OK	 
USER	accessToken	18	END	1577747346997	1577747351689
REQUEST	17		GetSubmissions	1577747348787	1577747351700	OK	 
REQUEST	5		GenAccToken	1577747346992	1577747351700	OK	 
USER	accessToken	17	END	1577747346997	1577747351704
REQUEST	6		GetSubmissions	1577747348671	1577747351712	OK	 
USER	accessToken	6	END	1577747346944	1577747351714
REQUEST	20		GetSubmissions	1577747351580	1577747351880	OK	 
USER	accessToken	20	END	1577747346998	1577747351883
REQUEST	5		GetSubmissions	1577747351705	1577747352000	OK	 
USER	accessToken	5	END	1577747346943	1577747352001
REQUEST	12		GetSubmissions	1577747349416	1577747352469	OK	 
REQUEST	9		GetSubmissions	1577747348893	1577747352469	OK	 
USER	accessToken	12	END	1577747346950	1577747352470
USER	accessToken	9	END	1577747346944	1577747352471
REQUEST	19		GetSubmissions	1577747348919	1577747352553	OK	 
USER	accessToken	19	END	1577747346997	1577747352554
REQUEST	2		GetSubmissions	1577747348903	1577747352565	OK	 
USER	accessToken	2	END	1577747346943	1577747352567
REQUEST	3		GetSubmissions	1577747351668	1577747352581	OK	 
USER	accessToken	3	END	1577747346943	1577747352583
REQUEST	10		GetSubmissions	1577747350426	1577747352597	OK	 
USER	accessToken	10	END	1577747346944	1577747352599
