RUN	MyTestPackage.TestScript1	testscript1	1577646249685	 	3.3.1
USER	TestScript1	1	START	1577646250886	1577646250886
REQUEST	1		HomePage	1577646250921	1577646251252	OK	 
USER	TestScript1	2	START	1577646251895	1577646251895
REQUEST	2		HomePage	1577646251899	1577646252154	OK	 
USER	TestScript1	3	START	1577646252894	1577646252894
REQUEST	3		HomePage	1577646252895	1577646253159	OK	 
USER	TestScript1	4	START	1577646253884	1577646253884
REQUEST	4		HomePage	1577646253885	1577646254155	OK	 
USER	TestScript1	5	START	1577646254883	1577646254883
REQUEST	5		HomePage	1577646254884	1577646255151	OK	 
USER	TestScript1	6	START	1577646255883	1577646255883
REQUEST	6		HomePage	1577646255884	1577646256155	OK	 
USER	TestScript1	7	START	1577646256883	1577646256883
REQUEST	7		HomePage	1577646256884	1577646257180	OK	 
USER	TestScript1	8	START	1577646257883	1577646257883
REQUEST	8		HomePage	1577646257884	1577646258163	OK	 
USER	TestScript1	9	START	1577646258893	1577646258893
REQUEST	9		HomePage	1577646258894	1577646259166	OK	 
USER	TestScript1	10	START	1577646259883	1577646259883
REQUEST	10		HomePage	1577646259884	1577646260157	OK	 
REQUEST	1		SearchFlight	1577646286304	1577646286480	OK	 
REQUEST	1		SelectFlight	1577646290644	1577646290821	OK	 
REQUEST	2		SearchFlight	1577646299696	1577646299837	OK	 
REQUEST	3		SearchFlight	1577646300505	1577646300649	OK	 
REQUEST	4		SearchFlight	1577646301066	1577646301203	OK	 
REQUEST	5		SearchFlight	1577646301386	1577646301526	OK	 
REQUEST	6		SearchFlight	1577646301706	1577646301839	OK	 
REQUEST	7		SearchFlight	1577646301775	1577646301907	OK	 
REQUEST	10		SearchFlight	1577646301806	1577646301935	OK	 
REQUEST	8		SearchFlight	1577646301865	1577646301993	OK	 
REQUEST	9		SearchFlight	1577646301876	1577646302008	OK	 
REQUEST	2		SelectFlight	1577646303975	1577646304106	OK	 
REQUEST	3		SelectFlight	1577646304784	1577646304918	OK	 
REQUEST	4		SelectFlight	1577646305344	1577646305473	OK	 
REQUEST	5		SelectFlight	1577646305665	1577646305821	OK	 
REQUEST	6		SelectFlight	1577646305979	1577646306112	OK	 
REQUEST	7		SelectFlight	1577646306043	1577646306175	OK	 
REQUEST	10		SelectFlight	1577646306079	1577646306217	OK	 
REQUEST	8		SelectFlight	1577646306134	1577646306267	OK	 
REQUEST	9		SelectFlight	1577646306134	1577646306286	OK	 
REQUEST	1		BookFlight	1577646324209	1577646324681	OK	 
REQUEST	1		BookFlight Redirect 1	1577646324687	1577646324811	OK	 
USER	TestScript1	1	END	1577646250886	1577646324953
REQUEST	2		BookFlight	1577646337241	1577646337788	OK	 
REQUEST	2		BookFlight Redirect 1	1577646337790	1577646337925	OK	 
USER	TestScript1	2	END	1577646251895	1577646338055
REQUEST	3		BookFlight	1577646338062	1577646338284	OK	 
REQUEST	3		BookFlight Redirect 1	1577646338285	1577646338417	OK	 
USER	TestScript1	3	END	1577646252894	1577646338604
REQUEST	4		BookFlight	1577646338599	1577646338826	OK	 
REQUEST	4		BookFlight Redirect 1	1577646338828	1577646338960	OK	 
USER	TestScript1	4	END	1577646253884	1577646339091
REQUEST	5		BookFlight	1577646339007	1577646339271	OK	 
REQUEST	5		BookFlight Redirect 1	1577646339272	1577646339836	OK	 
REQUEST	6		BookFlight	1577646339236	1577646339836	OK	 
REQUEST	7		BookFlight	1577646339298	1577646340138	OK	 
REQUEST	10		BookFlight	1577646339337	1577646340481	OK	 
REQUEST	8		BookFlight	1577646339397	1577646340608	OK	 
REQUEST	9		BookFlight	1577646339417	1577646340711	OK	 
REQUEST	6		BookFlight Redirect 1	1577646339838	1577646340721	OK	 
USER	TestScript1	5	END	1577646254883	1577646340723
REQUEST	7		BookFlight Redirect 1	1577646340140	1577646340730	OK	 
REQUEST	10		BookFlight Redirect 1	1577646340483	1577646340740	OK	 
REQUEST	8		BookFlight Redirect 1	1577646340610	1577646340752	OK	 
REQUEST	9		BookFlight Redirect 1	1577646340712	1577646340862	OK	 
USER	TestScript1	6	END	1577646255883	1577646340867
USER	TestScript1	7	END	1577646256883	1577646340868
USER	TestScript1	10	END	1577646259883	1577646340881
USER	TestScript1	8	END	1577646257883	1577646340890
USER	TestScript1	9	END	1577646258893	1577646340996
