ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQpCb29rRmxpZ2h0AwABAQMAAAAAAABAj0A=
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.TestScript1	testscript1	1577796290358	 	3.3.1
USER	TestScript1	1	START	1577796291201	1577796291201
USER	TestScript1	2	START	1577796293204	1577796293204
USER	TestScript1	3	START	1577796295204	1577796295204
USER	TestScript1	4	START	1577796296206	1577796296206
USER	TestScript1	5	START	1577796298206	1577796298206
USER	TestScript1	6	START	1577796300206	1577796300206
REQUEST	6		HomePage	1577796300207	1577796300664	OK	 
REQUEST	3		HomePage	1577796295206	1577796300677	OK	 
REQUEST	5		HomePage	1577796298207	1577796300692	OK	 
REQUEST	2		HomePage	1577796293205	1577796300696	OK	 
REQUEST	4		HomePage	1577796296208	1577796300707	OK	 
REQUEST	1		HomePage	1577796291231	1577796300717	OK	 
REQUEST	6		SearchFlight	1577796319626	1577796320008	OK	 
REQUEST	3		SearchFlight	1577796319775	1577796320038	OK	 
REQUEST	2		SearchFlight	1577796319754	1577796320082	OK	 
REQUEST	1		SearchFlight	1577796319784	1577796320095	OK	 
REQUEST	5		SearchFlight	1577796319745	1577796320210	OK	 
REQUEST	4		SearchFlight	1577796319784	1577796320224	OK	 
REQUEST	2		SelectFlight	1577796324475	1577796324705	OK	 
REQUEST	1		SelectFlight	1577796324494	1577796324747	OK	 
REQUEST	5		SelectFlight	1577796324545	1577796324761	OK	 
REQUEST	6		SelectFlight	1577796324666	1577796324810	OK	 
REQUEST	3		SelectFlight	1577796324675	1577796324824	OK	 
REQUEST	4		SelectFlight	1577796324875	1577796325028	OK	 
REQUEST	6		BookFlight	1577796357989	1577796358801	OK	 
REQUEST	2		BookFlight	1577796357987	1577796358937	OK	 
REQUEST	5		BookFlight	1577796357981	1577796359403	OK	 
REQUEST	3		BookFlight	1577796357992	1577796359836	OK	 
REQUEST	1		BookFlight	1577796357984	1577796360225	OK	 
REQUEST	4		BookFlight	1577796358168	1577796360737	OK	 
REQUEST	6		BookFlight Redirect 1	1577796358809	1577796360741	OK	 
REQUEST	2		BookFlight Redirect 1	1577796358938	1577796360777	OK	 
REQUEST	5		BookFlight Redirect 1	1577796359404	1577796360778	OK	 
REQUEST	1		BookFlight Redirect 1	1577796360226	1577796360802	OK	 
REQUEST	4		BookFlight Redirect 1	1577796360737	1577796361042	OK	 
USER	TestScript1	5	END	1577796298206	1577796361048
USER	TestScript1	6	END	1577796300206	1577796361048
USER	TestScript1	2	END	1577796293204	1577796361051
USER	TestScript1	9	START	1577796361051	1577796361051
USER	TestScript1	8	START	1577796361050	1577796361050
USER	TestScript1	7	START	1577796361050	1577796361050
REQUEST	3		BookFlight Redirect 1	1577796359837	1577796361133	OK	 
USER	TestScript1	4	END	1577796296206	1577796361176
USER	TestScript1	10	START	1577796361177	1577796361177
USER	TestScript1	3	END	1577796295204	1577796361339
REQUEST	8		HomePage	1577796361051	1577796361367	OK	 
REQUEST	9		HomePage	1577796361052	1577796361383	OK	 
REQUEST	7		HomePage	1577796361051	1577796361397	OK	 
USER	TestScript1	1	END	1577796291201	1577796361441
REQUEST	10		HomePage	1577796361177	1577796361473	OK	 
REQUEST	9		SearchFlight	1577796376655	1577796376840	OK	 
REQUEST	7		SearchFlight	1577796376664	1577796376869	OK	 
REQUEST	8		SearchFlight	1577796376664	1577796376890	OK	 
REQUEST	10		SearchFlight	1577796376634	1577796376978	OK	 
REQUEST	9		SelectFlight	1577796380994	1577796381138	OK	 
REQUEST	7		SelectFlight	1577796381016	1577796381195	OK	 
REQUEST	8		SelectFlight	1577796381034	1577796381199	OK	 
REQUEST	10		SelectFlight	1577796381145	1577796381383	OK	 
REQUEST	8		BookFlight	1577796414388	1577796414951	OK	 
REQUEST	7		BookFlight	1577796414390	1577796415117	OK	 
REQUEST	9		BookFlight	1577796414396	1577796415240	OK	 
REQUEST	10		BookFlight	1577796414526	1577796415372	OK	 
REQUEST	8		BookFlight Redirect 1	1577796414952	1577796415392	OK	 
REQUEST	7		BookFlight Redirect 1	1577796415118	1577796415400	OK	 
REQUEST	9		BookFlight Redirect 1	1577796415241	1577796415412	OK	 
REQUEST	10		BookFlight Redirect 1	1577796415373	1577796415519	OK	 
USER	TestScript1	8	END	1577796361050	1577796415533
USER	TestScript1	7	END	1577796361050	1577796415542
USER	TestScript1	9	END	1577796361051	1577796415544
USER	TestScript1	10	END	1577796361177	1577796415648
