ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQpCb29rRmxpZ2h0AwABAQMAAAAAAABAj0A=
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.TestScript1	testscript1	1577646436021	 	3.3.1
USER	TestScript1	1	START	1577646437041	1577646437041
REQUEST	1		HomePage	1577646437074	1577646437387	OK	 
USER	TestScript1	2	START	1577646438050	1577646438050
REQUEST	2		HomePage	1577646438051	1577646438309	OK	 
USER	TestScript1	3	START	1577646439051	1577646439051
REQUEST	3		HomePage	1577646439052	1577646439328	OK	 
USER	TestScript1	4	START	1577646440041	1577646440041
REQUEST	4		HomePage	1577646440041	1577646440336	OK	 
USER	TestScript1	5	START	1577646441040	1577646441040
REQUEST	5		HomePage	1577646441041	1577646441319	OK	 
USER	TestScript1	6	START	1577646442041	1577646442041
REQUEST	6		HomePage	1577646442041	1577646442317	OK	 
USER	TestScript1	7	START	1577646443042	1577646443042
REQUEST	7		HomePage	1577646443042	1577646443303	OK	 
USER	TestScript1	8	START	1577646444041	1577646444041
REQUEST	8		HomePage	1577646444042	1577646444456	OK	 
USER	TestScript1	9	START	1577646445041	1577646445041
REQUEST	9		HomePage	1577646445042	1577646445348	OK	 
USER	TestScript1	10	START	1577646446041	1577646446041
REQUEST	10		HomePage	1577646446041	1577646446339	OK	 
REQUEST	1		SearchFlight	1577646455691	1577646455872	OK	 
REQUEST	2		SearchFlight	1577646458610	1577646458766	OK	 
REQUEST	1		SelectFlight	1577646460091	1577646460250	OK	 
REQUEST	2		SelectFlight	1577646462934	1577646463073	OK	 
REQUEST	3		SearchFlight	1577646463933	1577646464069	OK	 
REQUEST	3		SelectFlight	1577646468213	1577646468344	OK	 
REQUEST	4		SearchFlight	1577646468303	1577646468438	OK	 
REQUEST	5		SearchFlight	1577646469754	1577646469900	OK	 
REQUEST	7		SearchFlight	1577646471014	1577646471157	OK	 
REQUEST	6		SearchFlight	1577646471103	1577646471238	OK	 
REQUEST	8		SearchFlight	1577646471461	1577646471595	OK	 
REQUEST	9		SearchFlight	1577646471483	1577646471617	OK	 
REQUEST	10		SearchFlight	1577646471483	1577646471627	OK	 
REQUEST	4		SelectFlight	1577646472584	1577646472723	OK	 
REQUEST	5		SelectFlight	1577646474043	1577646474252	OK	 
REQUEST	7		SelectFlight	1577646475293	1577646475437	OK	 
REQUEST	6		SelectFlight	1577646475383	1577646475531	OK	 
REQUEST	8		SelectFlight	1577646475732	1577646475872	OK	 
REQUEST	10		SelectFlight	1577646475762	1577646475904	OK	 
REQUEST	9		SelectFlight	1577646475762	1577646475917	OK	 
REQUEST	1		BookFlight	1577646493498	1577646494356	OK	 
REQUEST	1		BookFlight Redirect 1	1577646494368	1577646494497	OK	 
USER	TestScript1	1	END	1577646437041	1577646494632
REQUEST	2		BookFlight	1577646496206	1577646496713	OK	 
REQUEST	2		BookFlight Redirect 1	1577646496714	1577646496853	OK	 
USER	TestScript1	2	END	1577646438050	1577646496997
REQUEST	3		BookFlight	1577646501475	1577646502035	OK	 
REQUEST	3		BookFlight Redirect 1	1577646502036	1577646502179	OK	 
USER	TestScript1	3	END	1577646439051	1577646502316
REQUEST	4		BookFlight	1577646505843	1577646506112	OK	 
REQUEST	4		BookFlight Redirect 1	1577646506113	1577646506248	OK	 
USER	TestScript1	4	END	1577646440041	1577646506382
REQUEST	5		BookFlight	1577646507383	1577646507698	OK	 
REQUEST	5		BookFlight Redirect 1	1577646507698	1577646507836	OK	 
USER	TestScript1	5	END	1577646441040	1577646507959
REQUEST	7		BookFlight	1577646508565	1577646508785	OK	 
REQUEST	6		BookFlight	1577646508673	1577646508891	OK	 
REQUEST	7		BookFlight Redirect 1	1577646508785	1577646508921	OK	 
REQUEST	6		BookFlight Redirect 1	1577646508892	1577646509020	OK	 
USER	TestScript1	7	END	1577646443042	1577646509047
REQUEST	8		BookFlight	1577646509002	1577646509262	OK	 
USER	TestScript1	6	END	1577646442041	1577646509266
REQUEST	9		BookFlight	1577646509054	1577646509696	OK	 
REQUEST	8		BookFlight Redirect 1	1577646509263	1577646510125	OK	 
REQUEST	9		BookFlight Redirect 1	1577646509697	1577646510125	OK	 
REQUEST	10		BookFlight	1577646509063	1577646510125	OK	 
USER	TestScript1	8	END	1577646444041	1577646510267
REQUEST	10		BookFlight Redirect 1	1577646510126	1577646510268	OK	 
USER	TestScript1	9	END	1577646445041	1577646510270
USER	TestScript1	10	END	1577646446041	1577646510408
