ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQpCb29rRmxpZ2h0AwABAQMAAAAAAABAj0A=
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.APITest	apitest	1577747265454	 	3.3.1
USER	accessToken	4	START	1577747266494	1577747266494
USER	accessToken	9	START	1577747266497	1577747266497
USER	accessToken	8	START	1577747266497	1577747266497
USER	accessToken	14	START	1577747266602	1577747266602
USER	accessToken	15	START	1577747266602	1577747266602
USER	accessToken	13	START	1577747266601	1577747266601
USER	accessToken	16	START	1577747266603	1577747266603
USER	accessToken	17	START	1577747266603	1577747266603
USER	accessToken	18	START	1577747266604	1577747266604
USER	accessToken	20	START	1577747266604	1577747266604
USER	accessToken	3	START	1577747266493	1577747266493
USER	accessToken	19	START	1577747266604	1577747266604
USER	accessToken	10	START	1577747266496	1577747266496
USER	accessToken	6	START	1577747266495	1577747266495
USER	accessToken	5	START	1577747266497	1577747266497
USER	accessToken	12	START	1577747266500	1577747266500
USER	accessToken	11	START	1577747266498	1577747266498
USER	accessToken	7	START	1577747266498	1577747266498
USER	accessToken	1	START	1577747266490	1577747266490
USER	accessToken	2	START	1577747266493	1577747266493
REQUEST	1		GenAccToken	1577747266639	1577747268298	OK	 
REQUEST	4		GenAccToken	1577747266597	1577747268298	OK	 
REQUEST	16		GenAccToken	1577747266604	1577747268471	OK	 
REQUEST	12		GenAccToken	1577747266593	1577747268477	OK	 
REQUEST	2		GenAccToken	1577747266638	1577747268480	OK	 
REQUEST	8		GenAccToken	1577747266595	1577747268485	OK	 
REQUEST	18		GenAccToken	1577747266604	1577747268559	OK	 
REQUEST	11		GenAccToken	1577747266638	1577747268605	OK	 
REQUEST	14		GenAccToken	1577747266603	1577747268608	OK	 
REQUEST	13		GenAccToken	1577747266603	1577747268638	OK	 
REQUEST	10		GenAccToken	1577747266600	1577747268650	OK	 
REQUEST	20		GenAccToken	1577747266605	1577747268704	OK	 
REQUEST	5		GenAccToken	1577747266597	1577747268717	OK	 
REQUEST	2		GetSubmissions	1577747268483	1577747268767	OK	 
USER	accessToken	2	END	1577747266493	1577747268775
REQUEST	15		GenAccToken	1577747266603	1577747269321	OK	 
REQUEST	3		GenAccToken	1577747266605	1577747269321	OK	 
REQUEST	6		GenAccToken	1577747266600	1577747269324	OK	 
REQUEST	7		GenAccToken	1577747266593	1577747269327	OK	 
REQUEST	15		GetSubmissions	1577747269325	1577747269632	OK	 
USER	accessToken	15	END	1577747266602	1577747269634
REQUEST	19		GenAccToken	1577747266605	1577747270552	OK	 
REQUEST	9		GenAccToken	1577747266593	1577747270550	OK	 
REQUEST	8		GetSubmissions	1577747268489	1577747270553	OK	 
USER	accessToken	8	END	1577747266497	1577747270555
REQUEST	16		GetSubmissions	1577747268473	1577747270558	OK	 
REQUEST	12		GetSubmissions	1577747268479	1577747270559	OK	 
USER	accessToken	16	END	1577747266603	1577747270560
USER	accessToken	12	END	1577747266500	1577747270561
REQUEST	1		GetSubmissions	1577747268420	1577747270564	OK	 
USER	accessToken	1	END	1577747266490	1577747270567
REQUEST	17		GenAccToken	1577747266604	1577747270568	OK	 
REQUEST	4		GetSubmissions	1577747268420	1577747270576	OK	 
USER	accessToken	4	END	1577747266494	1577747270578
REQUEST	17		GetSubmissions	1577747270571	1577747270875	OK	 
USER	accessToken	17	END	1577747266603	1577747270876
REQUEST	14		GetSubmissions	1577747268610	1577747271671	OK	 
USER	accessToken	14	END	1577747266602	1577747271679
REQUEST	18		GetSubmissions	1577747268561	1577747271726	OK	 
USER	accessToken	18	END	1577747266604	1577747271727
REQUEST	9		GetSubmissions	1577747270557	1577747271732	OK	 
USER	accessToken	9	END	1577747266497	1577747271734
REQUEST	3		GetSubmissions	1577747269328	1577747271760	OK	 
USER	accessToken	3	END	1577747266493	1577747271762
REQUEST	5		GetSubmissions	1577747268720	1577747271771	OK	 
USER	accessToken	5	END	1577747266497	1577747271773
REQUEST	10		GetSubmissions	1577747268652	1577747271847	OK	 
REQUEST	6		GetSubmissions	1577747269331	1577747271848	OK	 
REQUEST	7		GetSubmissions	1577747269332	1577747271848	OK	 
REQUEST	19		GetSubmissions	1577747270559	1577747271850	OK	 
REQUEST	20		GetSubmissions	1577747268705	1577747271850	OK	 
USER	accessToken	6	END	1577747266495	1577747271850
USER	accessToken	7	END	1577747266498	1577747271854
USER	accessToken	10	END	1577747266496	1577747271855
USER	accessToken	20	END	1577747266604	1577747271855
USER	accessToken	19	END	1577747266604	1577747271856
REQUEST	11		GetSubmissions	1577747268608	1577747271857	OK	 
USER	accessToken	11	END	1577747266498	1577747271862
REQUEST	13		GetSubmissions	1577747268640	1577747272058	OK	 
USER	accessToken	13	END	1577747266601	1577747272060
