ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQpCb29rRmxpZ2h0AwABAQMAAAAAAABAj0A=
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.TestScript1	testscript1	1577796666838	 	3.3.1
USER	TestScript1	1	START	1577796669620	1577796669620
USER	TestScript1	2	START	1577796671622	1577796671622
REQUEST	2		HomePage	1577796671623	1577796671913	OK	 
REQUEST	1		HomePage	1577796669791	1577796671696	OK	 
USER	TestScript1	3	START	1577796673622	1577796673622
REQUEST	3		HomePage	1577796673624	1577796674066	OK	 
USER	TestScript1	4	START	1577796674632	1577796674632
REQUEST	4		HomePage	1577796674633	1577796676115	OK	 
USER	TestScript1	5	START	1577796676622	1577796676622
REQUEST	5		HomePage	1577796676623	1577796677192	OK	 
USER	TestScript1	6	START	1577796678622	1577796678622
REQUEST	6		HomePage	1577796678624	1577796678918	OK	 
REQUEST	1		SearchFlight	1577796690553	1577796690825	OK	 
REQUEST	2		SearchFlight	1577796691302	1577796691704	OK	 
REQUEST	3		SearchFlight	1577796693243	1577796693536	OK	 
REQUEST	4		SearchFlight	1577796694893	1577796695038	OK	 
REQUEST	5		SearchFlight	1577796694903	1577796695055	OK	 
REQUEST	6		SearchFlight	1577796695182	1577796695420	OK	 
REQUEST	1		SelectFlight	1577796695422	1577796695661	OK	 
REQUEST	2		SelectFlight	1577796696406	1577796696654	OK	 
REQUEST	3		SelectFlight	1577796697832	1577796698079	OK	 
REQUEST	4		SelectFlight	1577796699424	1577796699762	OK	 
REQUEST	5		SelectFlight	1577796699604	1577796699894	OK	 
REQUEST	6		SelectFlight	1577796699664	1577796699931	OK	 
REQUEST	1		BookFlight	1577796729110	1577796729641	OK	 
REQUEST	1		BookFlight Redirect 1	1577796729658	1577796729790	OK	 
USER	TestScript1	1	END	1577796669620	1577796729922
USER	TestScript1	7	START	1577796729923	1577796729923
REQUEST	2		BookFlight	1577796729916	1577796730224	OK	 
REQUEST	7		HomePage	1577796729924	1577796730235	OK	 
REQUEST	2		BookFlight Redirect 1	1577796730225	1577796730367	OK	 
USER	TestScript1	2	END	1577796671622	1577796730512
USER	TestScript1	8	START	1577796730513	1577796730513
REQUEST	8		HomePage	1577796730514	1577796730808	OK	 
REQUEST	3		BookFlight	1577796731385	1577796731969	OK	 
REQUEST	3		BookFlight Redirect 1	1577796731974	1577796732108	OK	 
USER	TestScript1	3	END	1577796673622	1577796732246
USER	TestScript1	9	START	1577796732246	1577796732246
REQUEST	9		HomePage	1577796732247	1577796732613	OK	 
REQUEST	5		BookFlight	1577796733261	1577796733535	OK	 
REQUEST	4		BookFlight	1577796733415	1577796733678	OK	 
REQUEST	5		BookFlight Redirect 1	1577796733536	1577796733709	OK	 
REQUEST	4		BookFlight Redirect 1	1577796733681	1577796734280	OK	 
USER	TestScript1	5	END	1577796676622	1577796734282
USER	TestScript1	10	START	1577796734285	1577796734285
USER	TestScript1	4	END	1577796674632	1577796734443
USER	TestScript1	11	START	1577796734443	1577796734443
REQUEST	6		BookFlight	1577796733603	1577796734595	OK	 
REQUEST	10		HomePage	1577796734286	1577796734594	OK	 
REQUEST	11		HomePage	1577796734444	1577796734761	OK	 
REQUEST	6		BookFlight Redirect 1	1577796734603	1577796734786	OK	 
USER	TestScript1	6	END	1577796678622	1577796734979
USER	TestScript1	12	START	1577796734979	1577796734979
REQUEST	12		HomePage	1577796734980	1577796735495	OK	 
REQUEST	7		SearchFlight	1577796749772	1577796749955	OK	 
REQUEST	8		SearchFlight	1577796752052	1577796752200	OK	 
REQUEST	7		SelectFlight	1577796754132	1577796754268	OK	 
REQUEST	9		SearchFlight	1577796754453	1577796754592	OK	 
REQUEST	11		SearchFlight	1577796755392	1577796755548	OK	 
REQUEST	12		SearchFlight	1577796755432	1577796755644	OK	 
REQUEST	10		SearchFlight	1577796755392	1577796755688	OK	 
REQUEST	8		SelectFlight	1577796756352	1577796756543	OK	 
REQUEST	9		SelectFlight	1577796758753	1577796758935	OK	 
REQUEST	11		SelectFlight	1577796759962	1577796760106	OK	 
REQUEST	12		SelectFlight	1577796760121	1577796760294	OK	 
REQUEST	10		SelectFlight	1577796760133	1577796760302	OK	 
REQUEST	7		BookFlight	1577796787410	1577796788076	OK	 
REQUEST	7		BookFlight Redirect 1	1577796788078	1577796788212	OK	 
USER	TestScript1	7	END	1577796729923	1577796788362
REQUEST	8		BookFlight	1577796789678	1577796790149	OK	 
REQUEST	8		BookFlight Redirect 1	1577796790152	1577796790356	OK	 
USER	TestScript1	8	END	1577796730513	1577796790505
REQUEST	9		BookFlight	1577796792066	1577796792645	OK	 
REQUEST	9		BookFlight Redirect 1	1577796792647	1577796792816	OK	 
USER	TestScript1	9	END	1577796732246	1577796792959
REQUEST	11		BookFlight	1577796793273	1577796793510	OK	 
REQUEST	12		BookFlight	1577796793414	1577796793664	OK	 
REQUEST	10		BookFlight	1577796793434	1577796793773	OK	 
REQUEST	11		BookFlight Redirect 1	1577796793510	1577796793788	OK	 
REQUEST	12		BookFlight Redirect 1	1577796793669	1577796793808	OK	 
REQUEST	10		BookFlight Redirect 1	1577796793773	1577796793951	OK	 
USER	TestScript1	11	END	1577796734443	1577796793965
USER	TestScript1	12	END	1577796734979	1577796793967
USER	TestScript1	10	END	1577796734285	1577796794081
