ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQ5HZXRTdWJtaXNzaW9ucwMAAQEDAAAAAAAAQI9A
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.APITest	apitest	1577750353992	 	3.3.1
USER	accessToken	1	START	1577750355167	1577750355167
USER	accessToken	2	START	1577750355672	1577750355672
REQUEST	1		GenAccToken	1577750355207	1577750355681	OK	 
REQUEST	2		GenAccToken	1577750355673	1577750356130	OK	 
REQUEST	1		GetSubmissions	1577750355777	1577750356133	OK	 
USER	accessToken	1	END	1577750355167	1577750356141
USER	accessToken	3	START	1577750356171	1577750356171
REQUEST	2		GetSubmissions	1577750356135	1577750356407	OK	 
USER	accessToken	2	END	1577750355672	1577750356410
REQUEST	3		GenAccToken	1577750356172	1577750356611	OK	 
USER	accessToken	4	START	1577750356671	1577750356671
REQUEST	3		GetSubmissions	1577750356614	1577750356916	OK	 
USER	accessToken	3	END	1577750356171	1577750356918
USER	accessToken	5	START	1577750357172	1577750357172
REQUEST	4		GenAccToken	1577750356672	1577750357510	OK	 
REQUEST	5		GenAccToken	1577750357173	1577750357571	OK	 
USER	accessToken	6	START	1577750357661	1577750357661
REQUEST	4		GetSubmissions	1577750357512	1577750357800	OK	 
USER	accessToken	4	END	1577750356671	1577750357803
REQUEST	5		GetSubmissions	1577750357574	1577750357860	OK	 
USER	accessToken	5	END	1577750357172	1577750357863
USER	accessToken	7	START	1577750358161	1577750358161
REQUEST	6		GenAccToken	1577750357662	1577750358168	OK	 
REQUEST	6		GetSubmissions	1577750358170	1577750358497	OK	 
USER	accessToken	6	END	1577750357661	1577750358500
REQUEST	7		GenAccToken	1577750358162	1577750358584	OK	 
USER	accessToken	8	START	1577750358661	1577750358661
REQUEST	7		GetSubmissions	1577750358587	1577750358871	OK	 
USER	accessToken	7	END	1577750358161	1577750358873
REQUEST	8		GenAccToken	1577750358662	1577750359038	OK	 
USER	accessToken	9	START	1577750359161	1577750359161
REQUEST	8		GetSubmissions	1577750359041	1577750359385	OK	 
USER	accessToken	8	END	1577750358661	1577750359388
REQUEST	9		GenAccToken	1577750359163	1577750359533	OK	 
USER	accessToken	10	START	1577750359662	1577750359662
REQUEST	9		GetSubmissions	1577750359536	1577750359807	OK	 
USER	accessToken	9	END	1577750359161	1577750359809
REQUEST	10		GenAccToken	1577750359663	1577750360123	OK	 
USER	accessToken	11	START	1577750360161	1577750360161
REQUEST	10		GetSubmissions	1577750360125	1577750360462	OK	 
USER	accessToken	10	END	1577750359662	1577750360464
REQUEST	11		GenAccToken	1577750360162	1577750360623	OK	 
USER	accessToken	12	START	1577750360660	1577750360660
REQUEST	11		GetSubmissions	1577750360626	1577750360990	OK	 
USER	accessToken	11	END	1577750360161	1577750360992
REQUEST	12		GenAccToken	1577750360661	1577750361041	OK	 
USER	accessToken	13	START	1577750361161	1577750361161
REQUEST	12		GetSubmissions	1577750361045	1577750361333	OK	 
USER	accessToken	12	END	1577750360660	1577750361335
REQUEST	13		GenAccToken	1577750361162	1577750361659	OK	 
USER	accessToken	14	START	1577750361659	1577750361659
REQUEST	13		GetSubmissions	1577750361661	1577750361999	OK	 
USER	accessToken	13	END	1577750361161	1577750362001
REQUEST	14		GenAccToken	1577750361660	1577750362095	OK	 
USER	accessToken	15	START	1577750362161	1577750362161
REQUEST	14		GetSubmissions	1577750362098	1577750362397	OK	 
USER	accessToken	14	END	1577750361659	1577750362399
REQUEST	15		GenAccToken	1577750362162	1577750362563	OK	 
USER	accessToken	16	START	1577750362661	1577750362661
REQUEST	15		GetSubmissions	1577750362565	1577750362924	OK	 
USER	accessToken	15	END	1577750362161	1577750362926
REQUEST	16		GenAccToken	1577750362661	1577750363040	OK	 
USER	accessToken	17	START	1577750363161	1577750363161
REQUEST	16		GetSubmissions	1577750363043	1577750363376	OK	 
USER	accessToken	16	END	1577750362661	1577750363378
REQUEST	17		GenAccToken	1577750363162	1577750363557	OK	 
USER	accessToken	18	START	1577750363660	1577750363660
REQUEST	17		GetSubmissions	1577750363559	1577750363910	OK	 
USER	accessToken	17	END	1577750363161	1577750363912
REQUEST	18		GenAccToken	1577750363662	1577750364064	OK	 
USER	accessToken	19	START	1577750364161	1577750364161
REQUEST	18		GetSubmissions	1577750364066	1577750364383	OK	 
USER	accessToken	18	END	1577750363660	1577750364384
REQUEST	19		GenAccToken	1577750364162	1577750364559	OK	 
USER	accessToken	20	START	1577750364661	1577750364661
REQUEST	19		GetSubmissions	1577750364561	1577750364852	OK	 
USER	accessToken	19	END	1577750364161	1577750364855
REQUEST	20		GenAccToken	1577750364662	1577750365058	OK	 
REQUEST	20		GetSubmissions	1577750365061	1577750365449	OK	 
USER	accessToken	20	END	1577750364661	1577750365451
