ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQ5HZXRTdWJtaXNzaW9ucwMAAQEDAAAAAAAAQI9A
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.APITest	apitest	1577796274745	 	3.3.1
USER	accessToken	1	START	1577796275786	1577796275786
USER	accessToken	2	START	1577796276280	1577796276280
USER	accessToken	3	START	1577796276781	1577796276781
REQUEST	1		GenAccToken	1577796275837	1577796276726	OK	 
REQUEST	2		GenAccToken	1577796276281	1577796276715	OK	 
REQUEST	2		GetSubmissions	1577796276836	1577796277174	OK	 
REQUEST	1		GetSubmissions	1577796276834	1577796277177	OK	 
USER	accessToken	2	END	1577796276280	1577796277186
USER	accessToken	1	END	1577796275786	1577796277186
REQUEST	3		GenAccToken	1577796276782	1577796277226	OK	 
USER	accessToken	4	START	1577796277282	1577796277282
REQUEST	3		GetSubmissions	1577796277228	1577796277542	OK	 
USER	accessToken	3	END	1577796276781	1577796277544
REQUEST	4		GenAccToken	1577796277283	1577796277722	OK	 
USER	accessToken	5	START	1577796277782	1577796277782
REQUEST	4		GetSubmissions	1577796277725	1577796278038	OK	 
USER	accessToken	4	END	1577796277282	1577796278040
REQUEST	5		GenAccToken	1577796277783	1577796278204	OK	 
USER	accessToken	6	START	1577796278281	1577796278281
REQUEST	5		GetSubmissions	1577796278207	1577796278478	OK	 
USER	accessToken	5	END	1577796277782	1577796278480
REQUEST	6		GenAccToken	1577796278282	1577796278755	OK	 
USER	accessToken	7	START	1577796278781	1577796278781
REQUEST	7		GenAccToken	1577796278781	1577796279185	OK	 
REQUEST	6		GetSubmissions	1577796278758	1577796279220	OK	 
USER	accessToken	6	END	1577796278281	1577796279222
USER	accessToken	8	START	1577796279282	1577796279282
REQUEST	7		GetSubmissions	1577796279188	1577796279534	OK	 
USER	accessToken	7	END	1577796278781	1577796279537
REQUEST	8		GenAccToken	1577796279283	1577796279668	OK	 
USER	accessToken	9	START	1577796279782	1577796279782
REQUEST	8		GetSubmissions	1577796279670	1577796279955	OK	 
USER	accessToken	8	END	1577796279282	1577796279957
REQUEST	9		GenAccToken	1577796279783	1577796280162	OK	 
USER	accessToken	10	START	1577796280280	1577796280280
REQUEST	9		GetSubmissions	1577796280164	1577796280530	OK	 
USER	accessToken	9	END	1577796279782	1577796280532
REQUEST	10		GenAccToken	1577796280281	1577796280687	OK	 
USER	accessToken	11	START	1577796280782	1577796280782
REQUEST	10		GetSubmissions	1577796280690	1577796280993	OK	 
USER	accessToken	10	END	1577796280280	1577796280994
REQUEST	11		GenAccToken	1577796280783	1577796281242	OK	 
USER	accessToken	12	START	1577796281282	1577796281282
REQUEST	11		GetSubmissions	1577796281244	1577796281608	OK	 
USER	accessToken	11	END	1577796280782	1577796281610
REQUEST	12		GenAccToken	1577796281283	1577796281743	OK	 
USER	accessToken	13	START	1577796281781	1577796281781
REQUEST	12		GetSubmissions	1577796281746	1577796282043	OK	 
USER	accessToken	12	END	1577796281282	1577796282044
REQUEST	13		GenAccToken	1577796281781	1577796282259	OK	 
USER	accessToken	14	START	1577796282280	1577796282280
REQUEST	13		GetSubmissions	1577796282261	1577796282548	OK	 
USER	accessToken	13	END	1577796281781	1577796282551
REQUEST	14		GenAccToken	1577796282281	1577796282690	OK	 
USER	accessToken	15	START	1577796282780	1577796282780
REQUEST	14		GetSubmissions	1577796282692	1577796282978	OK	 
USER	accessToken	14	END	1577796282280	1577796282980
REQUEST	15		GenAccToken	1577796282781	1577796283164	OK	 
USER	accessToken	16	START	1577796283282	1577796283282
REQUEST	15		GetSubmissions	1577796283166	1577796283472	OK	 
USER	accessToken	15	END	1577796282780	1577796283476
REQUEST	16		GenAccToken	1577796283283	1577796283712	OK	 
USER	accessToken	17	START	1577796283780	1577796283780
REQUEST	16		GetSubmissions	1577796283714	1577796283986	OK	 
USER	accessToken	16	END	1577796283282	1577796283988
REQUEST	17		GenAccToken	1577796283781	1577796284200	OK	 
USER	accessToken	18	START	1577796284282	1577796284282
REQUEST	17		GetSubmissions	1577796284202	1577796284498	OK	 
USER	accessToken	17	END	1577796283780	1577796284499
REQUEST	18		GenAccToken	1577796284284	1577796284675	OK	 
USER	accessToken	19	START	1577796284781	1577796284781
REQUEST	18		GetSubmissions	1577796284678	1577796285025	OK	 
USER	accessToken	18	END	1577796284282	1577796285026
REQUEST	19		GenAccToken	1577796284782	1577796285164	OK	 
USER	accessToken	20	START	1577796285283	1577796285283
REQUEST	19		GetSubmissions	1577796285166	1577796285508	OK	 
USER	accessToken	19	END	1577796284781	1577796285510
REQUEST	20		GenAccToken	1577796285284	1577796285739	OK	 
REQUEST	20		GetSubmissions	1577796285743	1577796286051	OK	 
USER	accessToken	20	END	1577796285283	1577796286052
